image_id,split,density,n_objects,mean_intensity,area_fraction,seed
train_034,train,dense,76,0.7294847871674288,0.1847381591796875,20260749
train_035,train,clustered,52,0.7750399426784994,0.1046600341796875,20260750
train_036,train,sparse,11,0.6439695251861631,0.0314178466796875,20260751
train_037,train,normal,27,0.6791849054214175,0.068878173828125,20260752
train_038,train,normal,32,0.7227206059446678,0.09283447265625,20260753
train_039,train,normal,35,0.7508323899327826,0.1069488525390625,20260754
train_040,train,dense,82,0.7280531570815991,0.1975250244140625,20260755
train_041,train,clustered,45,0.7860489493919611,0.1009521484375,20260756
train_042,train,sparse,8,0.6964291052540938,0.017974853515625,20260757
train_043,train,normal,25,0.7598411700741298,0.0737152099609375,20260758
train_044,train,normal,16,0.7280671155800779,0.052398681640625,20260759
train_045,train,normal,21,0.6875636869733118,0.061492919921875,20260760
train_046,train,dense,84,0.7738558759374038,0.20159912109375,20260761
train_047,train,clustered,53,0.770134458842862,0.1083526611328125,20260762
train_048,train,sparse,9,0.7026261479404289,0.0236358642578125,20260763
train_049,train,normal,39,0.7394570967462032,0.08740234375,20260764
train_050,train,normal,23,0.7315854038158612,0.05120849609375,20260765
train_051,train,normal,30,0.7266519022046813,0.07861328125,20260766
train_052,train,dense,53,0.7385487824028156,0.13250732421875,20260767
train_053,train,clustered,37,0.7594981933534333,0.0756072998046875,20260768
train_054,train,sparse,7,0.7412375108488171,0.0240631103515625,20260769
train_055,train,normal,16,0.7409868331337085,0.0400238037109375,20260770
train_056,train,normal,19,0.6823684497456664,0.0499420166015625,20260771
train_057,train,normal,27,0.7280399917373706,0.0633392333984375,20260772
train_058,train,dense,55,0.7432748966366853,0.1380462646484375,20260773
train_059,train,clustered,45,0.8006035353456578,0.0930328369140625,20260774
train_060,train,sparse,7,0.7342143975434502,0.0153350830078125,20260775
train_061,train,normal,20,0.7239198691460166,0.0469970703125,20260776
train_062,train,normal,27,0.749534012242436,0.0764312744140625,20260777
train_063,train,normal,33,0.7253203315434397,0.086395263671875,20260778
train_064,train,dense,73,0.7725724032452034,0.1810455322265625,20260779
train_065,train,clustered,60,0.735653569491375,0.11590576171875,20260780
train_066,train,sparse,7,0.765732251374796,0.0180816650390625,20260781
train_067,train,normal,17,0.7648055934930472,0.0392913818359375,20260782
train_068,train,normal,39,0.7435250068631641,0.109771728515625,20260783
train_069,train,normal,27,0.732156658538891,0.0686798095703125,20260784
train_070,train,dense,53,0.7673266128904533,0.1288299560546875,20260785
train_071,train,clustered,34,0.7533296502994706,0.082061767578125,20260786
train_072,train,sparse,8,0.7215556646800345,0.014739990234375,20260787
train_073,train,normal,36,0.73823303327236,0.0946197509765625,20260788
train_074,train,normal,38,0.7627233676701632,0.095672607421875,20260789
train_075,train,normal,22,0.7658476127917193,0.0653076171875,20260790
train_076,train,dense,80,0.7442125394841226,0.2047576904296875,20260791
train_077,train,clustered,42,0.7681659246432988,0.079925537109375,20260792
train_078,train,sparse,10,0.7677198347552587,0.028472900390625,20260793
train_079,train,normal,29,0.7288408974849426,0.084503173828125,20260794
val_000,val,sparse,5,0.6343779727688196,0.0097503662109375,20270715
val_001,val,normal,31,0.7732288551483226,0.0677337646484375,20270716
val_002,val,normal,17,0.7194514581384225,0.042633056640625,20270717
val_003,val,normal,36,0.7597388551110887,0.1031494140625,20270718
val_004,val,dense,81,0.7334344649188848,0.199462890625,20270719
val_005,val,clustered,48,0.7662921901003948,0.1049041748046875,20270720
val_006,val,sparse,9,0.7276134938093619,0.0266876220703125,20270721
val_007,val,normal,29,0.7249593661090727,0.0779571533203125,20270722
val_008,val,normal,25,0.7454178410276789,0.08026123046875,20270723
val_009,val,normal,20,0.7270064875156019,0.0469970703125,20270724
val_010,val,dense,64,0.7256505413353567,0.144439697265625,20270725
val_011,val,clustered,32,0.734751346661307,0.065460205078125,20270726
val_012,val,sparse,8,0.7426348155349686,0.01934814453125,20270727
val_013,val,normal,27,0.7345999834228105,0.0679168701171875,20270728
val_014,val,normal,21,0.7080797027355439,0.064300537109375,20270729
val_015,val,normal,26,0.6971177128441595,0.0776519775390625,20270730
val_016,val,dense,62,0.7697294088819502,0.1507110595703125,20270731
val_017,val,clustered,49,0.7760255533335253,0.0939483642578125,20270732
val_018,val,sparse,7,0.7328652632956387,0.0184478759765625,20270733
val_019,val,normal,19,0.732024827006909,0.0512542724609375,20270734
test_000,test,sparse,8,0.6432046560392977,0.023406982421875,20280715
test_001,test,normal,19,0.7138720599074707,0.04266357421875,20280716
test_002,test,normal,31,0.7052594898955253,0.0869903564453125,20280717
test_003,test,normal,21,0.7559046992345269,0.05877685546875,20280718
test_004,test,dense,75,0.7357641007418022,0.2163543701171875,20280719
test_005,test,clustered,49,0.7589109468378119,0.099578857421875,20280720
test_006,test,sparse,8,0.8435219249056152,0.02410888671875,20280721
test_007,test,normal,30,0.7385453686987669,0.0724334716796875,20280722
test_008,test,normal,28,0.7451421852328926,0.0842742919921875,20280723
test_009,test,normal,24,0.7165003384370621,0.0571441650390625,20280724
test_010,test,dense,78,0.7698372113269909,0.199005126953125,20280725
test_011,test,clustered,30,0.7640737701040778,0.0560302734375,20280726
